gyro_x,gyro_y,gyro_z,label
-0.26,-0.02,0.06,left
-0.34,0.13,0.20,left
-0.12,0.03,0.02,left
-0.35,0.15,0.12,left
0.01,0.06,0.13,left
-0.32,-0.03,-0.05,left
-0.32,-0.03,-0.05,left
-0.20,0.12,0.05,left
-0.10,0.01,-0.02,left
-0.22,0.04,0.07,left
-0.18,0.02,-0.00,left
-0.19,0.03,0.02,left
-0.25,0.01,0.07,left
-0.21,0.08,0.00,left
-0.21,0.08,0.00,left
-0.12,0.06,0.08,left
-0.23,0.02,-0.01,left
-0.21,0.00,0.04,left
-0.21,0.04,0.02,left
-0.21,0.04,0.02,left
-0.06,0.06,0.05,left
-0.17,0.03,0.01,left
-0.30,0.03,0.04,left
-0.12,0.02,0.04,left
-0.24,0.10,0.06,left
-0.18,0.04,0.04,left
-0.25,-0.06,0.10,left
-0.25,-0.06,0.10,left
-0.06,0.09,0.03,left
-0.27,0.03,0.09,left
-0.19,0.06,0.01,left
-0.17,0.05,0.07,left
-0.25,0.01,0.06,left
-0.21,-0.02,-0.01,left
-0.29,0.01,0.09,left
-0.28,0.05,0.03,left
-0.23,0.13,0.16,left
-0.21,0.06,0.06,left
-0.13,0.02,0.04,left
-0.15,0.00,0.06,left
-0.15,0.00,0.06,left
-0.20,0.09,0.14,left
-0.20,0.17,0.06,left
-0.06,0.02,0.15,left
-0.22,0.09,0.03,left
-0.17,0.02,0.02,left
-0.24,0.08,0.12,left
-0.16,0.02,0.06,left
-0.16,0.02,0.06,left
-0.19,0.10,0.19,left
-0.20,0.06,0.08,left
-0.08,0.10,0.08,left
-0.24,-0.01,0.14,left
-0.22,0.10,0.04,left
-0.12,0.24,0.11,left
-0.06,0.10,0.32,left
-0.28,0.06,0.06,left
-0.14,0.11,0.16,left
-0.25,0.26,0.22,left
0.06,0.20,0.26,left
-0.29,0.08,0.20,left
-0.29,0.08,0.20,left
-0.36,0.09,0.21,left
-0.14,0.13,0.19,left
-0.06,0.24,0.00,left
-0.06,0.12,0.22,left
-0.23,0.07,0.13,left
-0.20,0.14,0.22,left
-0.22,0.13,0.21,left
-0.22,0.13,0.21,left
-0.16,0.14,0.15,left
-0.22,0.06,0.27,left
-0.23,0.05,0.08,left
-0.24,0.10,0.16,left
-0.36,0.10,0.15,left
-0.04,0.07,0.05,left
-0.17,0.12,0.09,left
-0.19,0.01,0.12,left
-0.27,0.04,0.06,left
-0.24,0.09,0.17,left
-0.13,0.13,-0.01,left
-0.10,0.06,0.07,left
