gyro_x,gyro_y,gyro_z,label
-0.20,-0.03,0.27,backwards
-0.20,0.04,0.18,backwards
-0.29,-0.02,0.08,backwards
-0.17,-0.03,-0.03,backwards
-0.23,0.00,0.04,backwards
-0.25,0.02,-0.01,backwards
-0.21,0.02,-0.03,backwards
-0.20,-0.06,0.02,backwards
-0.22,-0.11,0.11,backwards
-0.17,-0.03,0.14,backwards
-0.23,0.10,0.17,backwards
-0.22,0.05,0.02,backwards
-0.23,0.05,0.09,backwards
-0.20,0.01,0.02,backwards
-0.22,0.02,-0.01,backwards
-0.28,-0.10,0.02,backwards
