gyro_x,gyro_y,gyro_z,label
-0.15,0.01,0.03,wheelie
-0.17,-0.01,0.04,wheelie
-0.16,-0.01,0.02,wheelie
-0.17,-0.01,0.01,wheelie
-0.16,-0.02,0.02,wheelie
-0.18,-0.01,0.03,wheelie
-0.19,-0.01,0.01,wheelie
-0.17,-0.01,0.02,wheelie
-0.16,-0.01,0.03,wheelie
-0.17,-0.01,0.04,wheelie
-0.16,-0.02,0.01,wheelie
-0.18,-0.01,0.02,wheelie
-0.19,-0.01,0.05,wheelie
